City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Am Timan,TD,77.38,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
145,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
150,Simplicio Mendes,BR,89.47,overcast clouds,-7.8539,-41.9103,Fidalgo
153,Lompoc,US,76.57,smoke,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
155,Mahibadhoo,MV,82.31,broken clouds,3.7833,72.9667,Omadhoo Inn
156,Port Keats,AU,82.87,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
162,Alta Floresta,BR,80.49,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
167,Tezu,IN,75.15,clear sky,27.9167,96.1667,Circuit House
169,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
170,Kigoma,TZ,77.59,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
171,Carauari,BR,84.07,broken clouds,-4.8828,-66.8958,Hotel Fellip
172,Uchiza,PE,84.42,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
174,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
184,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
189,Manokwari,ID,80.37,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
191,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
193,Kavieng,PG,83.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
200,Mana,GF,81.43,broken clouds,5.6592,-53.7767,LE SAMANA
203,Maiduguri,NG,82.11,clear sky,11.8464,13.1603,Kagel Mari Police Station
208,Socorro,US,88.81,few clouds,31.6546,-106.3033,guarderia imss papalote
210,Mazamari,PE,89.69,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
224,Salinopolis,BR,81.66,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
225,Basco,PH,83.23,moderate rain,20.4487,121.9702,Nathaniel's Lodge
226,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
229,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
232,Kolondieba,ML,78.39,light rain,11.0882,-6.8926,Hotel Dakan
234,Lamar,US,78.64,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
235,Axim,GH,78.58,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
247,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
249,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
251,Iracoubo,GF,81.79,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
257,Itarema,BR,79.59,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
259,Rach Gia,VN,78.75,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
263,Honiara,SB,84.0,broken clouds,-9.4333,159.95,Heritage Park Hotel
265,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
267,Guane,CU,81.72,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
268,Pozo Colorado,PY,84.04,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
271,Kpandu,GH,78.58,few clouds,6.9954,0.2931,Emo House
277,Sao Filipe,CV,79.36,clear sky,14.8961,-24.4956,Hotel Xaguate
279,Moyale,KE,75.29,overcast clouds,3.5167,39.0584,La Tahzan Guest House
285,Jibuti,DJ,83.62,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
292,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
301,Karratha,AU,75.97,clear sky,-20.7377,116.8463,ibis Styles Karratha
303,Hamilton,US,77.76,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
305,Dabhol,IN,75.87,overcast clouds,17.6,73.1667,Ashwamedh Resort
308,Lorengau,PG,84.9,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
313,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
324,Marsh Harbour,BS,81.73,broken clouds,26.5412,-77.0636,Abaco Beach Resort
