City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Jutai,BR,2021-10-12 21:42:16,-5.1833,-68.9,80.65,75,91,2.73,overcast clouds
109,Mezen,RU,2021-10-12 21:42:16,65.8522,44.24,37.72,90,5,10.78,clear sky
110,Tabuk,PH,2021-10-12 21:42:16,17.4189,121.4443,74.23,87,100,3.74,overcast clouds
111,Tiarei,PF,2021-10-12 21:42:17,-17.5333,-149.3333,84.22,77,87,16.13,light rain
112,Carnarvon,AU,2021-10-12 21:51:54,-24.8667,113.6333,57.27,62,0,13.8,clear sky
113,Leningradskiy,RU,2021-10-12 21:42:17,69.3833,178.4167,21.83,95,100,5.03,light snow
114,Khatanga,RU,2021-10-12 21:51:54,71.9667,102.5,12.13,96,100,6.82,overcast clouds
115,Pitimbu,BR,2021-10-12 21:51:55,-7.4706,-34.8086,79.39,74,43,9.93,scattered clouds
116,San Patricio,US,2021-10-12 21:51:55,28.017,-97.5169,92.08,63,32,21.18,scattered clouds
117,Lagunas,PE,2021-10-12 21:42:18,-5.2269,-75.6753,83.98,68,99,2.93,moderate rain
118,Bengkulu,ID,2021-10-12 21:51:56,-3.8004,102.2655,75.33,91,98,2.89,light rain
119,Abu Samrah,SY,2021-10-12 21:42:19,35.3029,37.1841,70.99,49,83,10.38,broken clouds
120,Beringovskiy,RU,2021-10-12 21:42:19,63.05,179.3167,19.63,84,53,12.64,broken clouds
121,Puerto Escondido,MX,2021-10-12 21:42:20,15.85,-97.0667,90.43,51,20,9.22,few clouds
122,Saint George,US,2021-10-12 21:48:58,37.1041,-113.5841,56.62,49,90,1.01,overcast clouds
123,Kasane,BW,2021-10-12 21:42:20,-17.8167,25.15,67.08,37,0,5.21,clear sky
124,Lagoa,PT,2021-10-12 21:42:21,39.05,-27.9833,68.9,71,56,7.2,broken clouds
125,Guerrero Negro,MX,2021-10-12 21:51:57,27.9769,-114.0611,70.38,47,0,21.81,clear sky
126,Chuy,UY,2021-10-12 21:51:57,-33.6971,-53.4616,61.61,95,23,6.76,few clouds
127,Opuwo,NA,2021-10-12 21:51:58,-18.0607,13.84,76.51,27,0,3.04,clear sky
128,Guapore,BR,2021-10-12 21:42:22,-28.8456,-51.8903,62.6,92,29,0.25,scattered clouds
129,Kaihua,CN,2021-10-12 21:42:22,23.3687,104.28,54.19,94,87,8.03,overcast clouds
130,Victoria,HK,2021-10-12 21:49:05,22.2855,114.1577,77.32,92,100,1.01,light rain
131,Labuhan,ID,2021-10-12 21:42:23,-6.8844,112.2051,77.04,78,96,10.13,overcast clouds
132,Gisborne,NZ,2021-10-12 21:42:23,-38.6533,178.0042,56.95,41,3,11.68,clear sky
133,Tiksi,RU,2021-10-12 21:51:59,71.6872,128.8694,20.01,92,98,10.07,overcast clouds
134,Maceio,BR,2021-10-12 21:42:00,-9.6658,-35.7353,80.04,78,0,9.22,clear sky
135,Baykit,RU,2021-10-12 21:51:59,61.67,96.37,23.94,75,100,1.41,overcast clouds
136,Bhandaria,BD,2021-10-12 21:42:24,22.4861,90.0609,78.62,80,58,5.19,broken clouds
137,Barrow,US,2021-10-12 21:52:00,71.2906,-156.7887,30.22,80,90,21.85,haze
138,Hirado,JP,2021-10-12 21:42:24,33.3597,129.5531,74.55,88,100,24.79,overcast clouds
139,Araouane,ML,2021-10-12 21:42:25,18.9048,-3.5265,88.59,9,60,6.31,broken clouds
140,Lavrentiya,RU,2021-10-12 21:52:00,65.5833,-171.0,31.19,81,100,11.25,overcast clouds
141,Puerto Cabezas,NI,2021-10-12 21:42:25,14.0351,-83.3888,85.96,79,40,4.61,scattered clouds
142,Port Elizabeth,ZA,2021-10-12 21:52:01,-33.918,25.5701,60.1,100,90,3.44,mist
143,Tautira,PF,2021-10-12 21:52:01,-17.7333,-149.15,84.22,81,99,16.11,light rain
144,Am Timan,TD,2021-10-12 21:42:26,11.0297,20.2827,77.38,70,93,5.99,overcast clouds
145,Cayenne,GF,2021-10-12 21:38:57,4.9333,-52.3333,83.08,81,75,1.99,broken clouds
146,East London,ZA,2021-10-12 21:52:02,-33.0153,27.9116,65.23,81,100,0.85,overcast clouds
147,Mayor Pablo Lagerenza,PY,2021-10-12 21:42:26,-19.9309,-60.7718,87.73,49,96,4.5,overcast clouds
148,Balykshi,KZ,2021-10-12 21:42:27,47.0667,51.8667,51.8,43,0,20.13,clear sky
149,Tuatapere,NZ,2021-10-12 21:52:03,-46.1333,167.6833,45.77,73,98,6.06,overcast clouds
150,Simplicio Mendes,BR,2021-10-12 21:42:27,-7.8539,-41.9103,89.47,26,94,2.62,overcast clouds
151,San Ramon De La Nueva Oran,AR,2021-10-12 21:42:28,-23.1322,-64.326,91.38,35,52,8.01,broken clouds
152,Ati,TD,2021-10-12 21:42:28,13.2154,18.3353,91.24,14,33,9.19,scattered clouds
153,Lompoc,US,2021-10-12 21:52:04,34.6391,-120.4579,76.57,35,1,20.71,smoke
154,Iqaluit,CA,2021-10-12 21:52:04,63.7506,-68.5145,35.33,93,75,25.99,broken clouds
155,Mahibadhoo,MV,2021-10-12 21:42:29,3.7833,72.9667,82.31,76,68,17.27,broken clouds
156,Port Keats,AU,2021-10-12 21:42:29,-14.25,129.55,82.87,70,65,5.68,broken clouds
157,Te Anau,NZ,2021-10-12 21:52:05,-45.4167,167.7167,42.8,80,78,5.1,broken clouds
158,Komatipoort,ZA,2021-10-12 21:42:30,-25.4332,31.9548,70.14,38,39,0.72,scattered clouds
159,Namibe,AO,2021-10-12 21:42:30,-15.1961,12.1522,69.85,85,96,4.38,overcast clouds
160,Ishimbay,RU,2021-10-12 21:42:30,53.4545,56.0415,45.79,68,100,6.06,overcast clouds
161,Mount Gambier,AU,2021-10-12 21:52:05,-37.8333,140.7667,55.31,76,81,19.57,light rain
162,Alta Floresta,BR,2021-10-12 21:42:31,-9.8756,-56.0861,80.49,64,53,1.52,broken clouds
163,Plainfield,US,2021-10-12 21:42:31,40.6168,-74.4173,71.62,76,1,8.05,clear sky
164,Sitka,US,2021-10-12 21:42:32,57.0531,-135.33,48.09,76,90,19.57,moderate rain
165,Dikson,RU,2021-10-12 21:52:06,73.5069,80.5464,28.35,81,91,17.07,overcast clouds
166,Lasa,IT,2021-10-12 21:52:06,46.6166,10.7002,47.28,95,76,5.82,broken clouds
167,Tezu,IN,2021-10-12 21:42:32,27.9167,96.1667,75.15,60,3,3.96,clear sky
168,Oranjemund,NA,2021-10-12 21:42:33,-28.55,16.4333,58.96,75,83,1.95,broken clouds
169,Vaini,TO,2021-10-12 21:52:07,-21.2,-175.2,75.36,73,75,6.91,broken clouds
170,Kigoma,TZ,2021-10-12 21:42:33,-4.8769,29.6267,77.59,56,75,1.9,broken clouds
171,Carauari,BR,2021-10-12 21:52:08,-4.8828,-66.8958,84.07,69,78,2.64,broken clouds
172,Uchiza,PE,2021-10-12 21:42:34,-8.4592,-76.4633,84.42,62,100,0.49,overcast clouds
173,Stokmarknes,NO,2021-10-12 21:42:34,68.5646,14.9108,43.5,78,100,4.25,overcast clouds
174,Hithadhoo,MV,2021-10-12 21:52:08,-0.6,73.0833,82.27,76,100,16.87,overcast clouds
175,Hasaki,JP,2021-10-12 21:52:09,35.7333,140.8333,63.0,87,100,21.74,overcast clouds
176,Dubbo,AU,2021-10-12 21:42:35,-32.25,148.6167,55.53,94,75,13.8,broken clouds
177,Usolye,RU,2021-10-12 21:42:35,59.4268,56.6808,38.84,92,58,3.91,broken clouds
178,Walker,US,2021-10-12 21:42:36,30.7335,-95.5669,91.18,52,40,8.05,scattered clouds
179,Juegang,CN,2021-10-12 21:42:36,32.3174,121.1855,74.91,93,100,12.82,light rain
180,Hualmay,PE,2021-10-12 21:42:36,-11.0964,-77.6139,64.96,79,47,13.58,scattered clouds
181,Kosai,JP,2021-10-12 21:42:37,34.7105,137.5316,73.26,83,100,7.52,overcast clouds
182,Marsabit,KE,2021-10-12 21:42:37,2.3284,37.9899,71.89,43,100,22.95,overcast clouds
183,Houston,US,2021-10-12 21:42:16,29.7633,-95.3633,91.85,70,75,8.99,broken clouds
184,Georgetown,MY,2021-10-12 21:50:04,5.4112,100.3354,82.33,82,20,0.0,few clouds
185,La Ronge,CA,2021-10-12 21:42:38,55.1001,-105.2842,43.05,49,20,4.61,few clouds
186,Tasiilaq,GL,2021-10-12 21:52:10,65.6145,-37.6368,23.11,57,0,2.06,clear sky
187,Zyryanovsk,KZ,2021-10-12 21:42:38,49.7386,84.2719,32.85,91,99,2.77,overcast clouds
188,Qaanaaq,GL,2021-10-12 21:52:10,77.484,-69.3632,28.92,94,99,6.55,overcast clouds
189,Manokwari,ID,2021-10-12 21:42:39,-0.8667,134.0833,80.37,76,68,2.91,broken clouds
190,Solnechnyy,RU,2021-10-12 21:42:39,50.7214,136.6319,42.33,79,100,4.18,overcast clouds
191,Conde,BR,2021-10-12 21:42:40,-7.2597,-34.9075,78.26,78,20,6.91,few clouds
192,Alihe,CN,2021-10-12 21:42:40,50.5667,123.7167,42.42,72,100,2.93,overcast clouds
193,Kavieng,PG,2021-10-12 21:52:11,-2.5744,150.7967,83.57,74,99,15.46,overcast clouds
194,Yar-Sale,RU,2021-10-12 21:52:11,66.8333,70.8333,29.7,96,100,14.67,light snow
195,Tuktoyaktuk,CA,2021-10-12 21:52:12,69.4541,-133.0374,26.6,100,75,13.8,broken clouds
196,Faya,SA,2021-10-12 21:52:12,18.3851,42.4509,63.12,19,32,7.54,scattered clouds
197,Tura,IN,2021-10-12 21:42:41,25.5198,90.2201,73.63,88,37,3.11,scattered clouds
198,Nacala,MZ,2021-10-12 21:42:41,-14.5428,40.6728,71.65,79,2,8.34,clear sky
199,Guangyuan,CN,2021-10-12 21:42:42,32.442,105.823,54.41,94,100,4.03,overcast clouds
200,Mana,GF,2021-10-12 21:42:42,5.6592,-53.7767,81.43,80,53,9.91,broken clouds
201,Talnakh,RU,2021-10-12 21:42:43,69.4865,88.3972,16.16,97,99,4.56,overcast clouds
202,Beroroha,MG,2021-10-12 21:42:43,-21.6667,45.1667,76.66,54,94,2.95,overcast clouds
203,Maiduguri,NG,2021-10-12 21:42:43,11.8464,13.1603,82.11,20,5,2.48,clear sky
204,Leshan,CN,2021-10-12 21:42:44,29.5623,103.7639,60.33,89,100,1.43,overcast clouds
205,Biggar,GB,2021-10-12 21:42:44,55.6167,-3.5167,55.29,97,97,4.07,overcast clouds
206,Vestmannaeyjar,IS,2021-10-12 21:52:14,63.4427,-20.2734,47.97,98,100,13.89,overcast clouds
207,Pitea,SE,2021-10-12 21:42:45,65.3172,21.4794,35.69,86,24,5.08,few clouds
208,Socorro,US,2021-10-12 21:42:45,31.6546,-106.3033,88.81,16,20,24.16,few clouds
209,Vangaindrano,MG,2021-10-12 21:42:46,-23.35,47.6,63.23,81,96,3.15,overcast clouds
210,Mazamari,PE,2021-10-12 21:42:46,-11.3258,-74.5308,89.69,45,54,1.48,broken clouds
211,Whitehills,GB,2021-10-12 21:42:47,57.6667,-2.5833,50.58,91,100,7.96,overcast clouds
212,Chokurdakh,RU,2021-10-12 21:52:15,70.6333,147.9167,15.39,92,100,8.05,overcast clouds
213,Leninskoye,KZ,2021-10-12 21:42:47,41.7589,69.3864,44.53,35,0,3.22,clear sky
214,Fairbanks,US,2021-10-12 21:48:57,64.8378,-147.7164,35.82,74,20,1.01,few clouds
215,Grindavik,IS,2021-10-12 21:42:48,63.8424,-22.4338,49.95,100,90,18.41,fog
216,Batangafo,CF,2021-10-12 21:42:05,7.3008,18.2833,73.71,92,100,4.81,overcast clouds
217,Nara,JP,2021-10-12 21:52:15,34.6851,135.8049,72.72,91,84,1.3,broken clouds
218,Portland,US,2021-10-12 21:52:16,45.5234,-122.6762,56.44,67,75,1.99,broken clouds
219,Mae Hong Son,TH,2021-10-12 21:42:49,19.3003,97.9685,71.42,96,54,1.59,broken clouds
220,Yulara,AU,2021-10-12 21:52:16,-25.2406,130.9889,49.84,32,0,3.44,clear sky
221,Arraial Do Cabo,BR,2021-10-12 21:52:17,-22.9661,-42.0278,66.16,94,75,12.66,light intensity drizzle
222,Tessalit,ML,2021-10-12 21:42:49,20.1986,1.0114,85.71,11,56,9.19,broken clouds
223,Ippy,CF,2021-10-12 21:42:50,6.2679,21.2247,69.53,98,99,2.28,overcast clouds
224,Salinopolis,BR,2021-10-12 21:42:50,-0.6136,-47.3561,81.66,76,10,13.24,clear sky
225,Basco,PH,2021-10-12 21:42:50,20.4487,121.9702,83.23,85,100,21.41,moderate rain
226,Makakilo City,US,2021-10-12 21:48:02,21.3469,-158.0858,82.72,69,90,13.8,overcast clouds
227,Myaundzha,RU,2021-10-12 21:42:51,63.0494,147.1858,16.43,89,100,4.32,overcast clouds
228,Pasinler,TR,2021-10-12 21:42:51,39.9803,41.6764,43.79,30,2,2.84,clear sky
229,The Valley,AI,2021-10-12 21:42:52,18.217,-63.0578,84.34,84,40,17.27,scattered clouds
230,Mayo,US,2021-10-12 21:42:52,38.8876,-76.5119,71.58,86,90,4.0,overcast clouds
231,Mahebourg,MU,2021-10-12 21:52:18,-20.4081,57.7,73.69,88,40,3.44,scattered clouds
232,Kolondieba,ML,2021-10-12 21:42:53,11.0882,-6.8926,78.39,71,21,4.09,light rain
233,Urengoy,RU,2021-10-12 21:42:53,65.9667,78.3667,22.75,84,68,8.55,broken clouds
234,Lamar,US,2021-10-12 21:42:53,33.6668,-95.5836,78.64,77,40,14.97,scattered clouds
235,Axim,GH,2021-10-12 21:42:54,4.8699,-2.2405,78.58,90,45,9.6,scattered clouds
236,Nassau,US,2021-10-12 21:42:54,40.7507,-73.5829,71.28,71,90,1.99,overcast clouds
237,Alice Springs,AU,2021-10-12 21:52:19,-23.7,133.8833,62.15,34,0,9.22,clear sky
238,Ancud,CL,2021-10-12 21:52:19,-41.8697,-73.8203,63.93,81,14,7.9,few clouds
239,Bilibino,RU,2021-10-12 21:42:55,68.0546,166.4372,-2.4,93,14,3.8,few clouds
240,Ponta Do Sol,PT,2021-10-12 21:52:20,32.6667,-17.1,69.71,72,42,1.88,scattered clouds
241,Ahipara,NZ,2021-10-12 21:42:55,-35.1667,173.1667,55.6,69,95,13.73,overcast clouds
242,Lata,PT,2021-10-12 21:52:20,40.1629,-8.3327,64.81,53,0,3.69,clear sky
243,Airai,TL,2021-10-12 21:52:20,-8.9266,125.4092,62.98,75,99,2.24,overcast clouds
244,Dunedin,NZ,2021-10-12 21:42:56,-45.8742,170.5036,45.81,69,100,15.99,overcast clouds
245,Mizdah,LY,2021-10-12 21:42:56,31.4451,12.9801,64.62,42,84,2.86,broken clouds
246,Jishou,CN,2021-10-12 21:42:57,28.3167,109.7167,61.05,74,100,2.55,overcast clouds
247,Bathsheba,BB,2021-10-12 21:42:57,13.2167,-59.5167,83.01,78,75,16.11,broken clouds
248,Deputatskiy,RU,2021-10-12 21:52:21,69.3,139.9,20.71,97,100,3.53,light snow
249,Ambon,ID,2021-10-12 21:42:58,-3.6954,128.1814,77.14,94,40,5.75,scattered clouds
250,Aklavik,CA,2021-10-12 21:42:58,68.2191,-135.0107,25.63,86,90,0.0,overcast clouds
251,Iracoubo,GF,2021-10-12 21:42:59,5.4802,-53.2011,81.79,79,72,10.56,broken clouds
252,Mount Isa,AU,2021-10-12 21:52:22,-20.7333,139.5,69.57,73,75,3.44,broken clouds
253,Miyako,JP,2021-10-12 21:42:59,39.6367,141.9525,59.95,85,100,6.46,light rain
254,Olafsvik,IS,2021-10-12 21:43:00,64.8945,-23.7142,46.53,98,100,4.29,overcast clouds
255,Luderitz,NA,2021-10-12 21:52:23,-26.6481,15.1594,62.51,69,48,7.05,scattered clouds
256,Pisco,PE,2021-10-12 21:52:23,-13.7,-76.2167,66.25,72,0,13.8,clear sky
257,Itarema,BR,2021-10-12 21:52:23,-2.9248,-39.9167,79.59,74,83,18.3,broken clouds
258,Locri,IT,2021-10-12 21:43:00,38.2414,16.2623,64.17,73,93,6.02,overcast clouds
259,Rach Gia,VN,2021-10-12 21:52:24,10.0167,105.0833,78.75,85,100,18.45,overcast clouds
