City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Jijiga,ET,2021-10-12 19:25:53,9.35,42.8,67.73,72,18,2.3
131,Vadso,NO,2021-10-12 19:25:54,70.0744,29.7487,41.16,81,0,14.97
132,Imeni Tsyurupy,RU,2021-10-12 19:25:54,55.4957,38.6506,48.43,67,100,6.2
133,Clyde River,CA,2021-10-12 19:25:54,70.4692,-68.5914,35.83,87,75,2.3
134,Bardiyah,LY,2021-10-12 19:25:55,31.7561,25.0865,73.29,71,5,10.83
135,Chara,RU,2021-10-12 19:25:55,56.9064,118.2631,23.95,74,100,4.45
136,Marquette,US,2021-10-12 19:25:55,46.5333,-87.6335,58.82,94,100,10.6
137,Bratsk,RU,2021-10-12 19:22:45,56.1325,101.6142,25.29,57,100,5.26
138,Avera,US,2021-10-12 19:25:56,33.194,-82.5271,79.75,51,0,5.46
139,Kodiak,US,2021-10-12 19:25:56,57.79,-152.4072,45.91,57,1,0.0
140,Paita,PE,2021-10-12 19:25:56,-5.0892,-81.1144,73.96,74,49,19.13
141,Pevek,RU,2021-10-12 19:25:57,69.7008,170.3133,15.49,91,100,3.94
142,Thinadhoo,MV,2021-10-12 19:25:57,0.5333,72.9333,84.0,71,99,17.18
143,Thompson,CA,2021-10-12 19:25:57,55.7435,-97.8558,44.76,93,90,6.91
144,Nara,JP,2021-10-12 19:25:58,34.6851,135.8049,72.97,93,77,2.1
145,Shimoda,JP,2021-10-12 19:25:58,34.6667,138.95,71.71,89,99,13.76
146,Airai,TL,2021-10-12 19:25:58,-8.9266,125.4092,61.05,78,100,1.5
147,Kavieng,PG,2021-10-12 19:25:59,-2.5744,150.7967,82.76,77,99,13.85
148,Kamenka,RU,2021-10-12 19:25:59,51.3223,42.7678,54.39,40,100,13.29
149,Suez,EG,2021-10-12 19:25:59,29.9737,32.5263,77.54,56,100,14.34
150,Iqaluit,CA,2021-10-12 19:22:59,63.7506,-68.5145,35.33,93,90,17.0
151,Port Alfred,ZA,2021-10-12 19:25:59,-33.5906,26.891,63.63,86,83,3.2
152,Vizinga,RU,2021-10-12 19:26:00,61.0749,50.1031,38.71,90,67,5.35
153,Ancud,CL,2021-10-12 19:26:00,-41.8697,-73.8203,65.73,69,18,9.89
154,Fairbanks,US,2021-10-12 19:26:01,64.8378,-147.7164,33.76,79,90,0.0
155,Talnakh,RU,2021-10-12 19:26:01,69.4865,88.3972,20.26,96,100,4.65
156,Koltubanovskiy,RU,2021-10-12 19:26:02,52.9407,52.0269,47.3,64,60,5.37
157,Tazovskiy,RU,2021-10-12 19:26:03,67.4667,78.7,24.42,85,17,9.24
158,Ishigaki,JP,2021-10-12 19:26:03,24.3448,124.1572,81.5,84,100,29.93
159,Brookings,US,2021-10-12 19:26:04,44.3114,-96.7984,66.54,58,1,9.22
160,Abu Dhabi,AE,2021-10-12 19:26:04,24.4667,54.3667,87.91,62,0,6.91
161,Zhangjiakou,CN,2021-10-12 19:26:04,40.81,114.8794,49.71,40,100,4.14
162,Nang Rong,TH,2021-10-12 19:26:05,14.6377,102.7914,75.22,95,100,3.33
163,Grindavik,IS,2021-10-12 19:26:05,63.8424,-22.4338,49.95,100,90,17.27
164,Zamora,EC,2021-10-12 19:26:05,-4.0692,-78.9567,83.44,94,97,3.02
165,Price,US,2021-10-12 19:23:35,39.5994,-110.8107,39.42,87,90,5.75
166,Maiduguri,NG,2021-10-12 19:26:06,11.8464,13.1603,86.77,17,1,6.06
167,Goundam,ML,2021-10-12 19:26:06,16.4145,-3.6708,98.1,12,80,8.41
168,Nuevo Casas Grandes,MX,2021-10-12 19:26:07,30.4167,-107.9167,78.75,26,0,28.99
169,Miles City,US,2021-10-12 19:26:07,46.4083,-105.8406,36.52,100,90,9.22
170,Caraquet,CA,2021-10-12 19:26:07,47.7941,-64.9386,68.58,81,100,2.75
171,Guerrero Negro,MX,2021-10-12 19:26:07,27.9769,-114.0611,70.39,51,0,19.26
172,Buala,SB,2021-10-12 19:26:08,-8.145,159.5921,79.39,80,100,3.78
173,Moroni,KM,2021-10-12 19:26:08,-11.7022,43.2551,76.05,87,10,10.02
174,Swellendam,ZA,2021-10-12 19:26:09,-34.0226,20.4417,57.58,60,100,3.83
175,Pisco,PE,2021-10-12 19:26:09,-13.7,-76.2167,66.25,68,0,10.36
